tile_filename,source_product,tile_x,tile_y,center_lat,center_lon,std_dev,prox_score,mean_pixel,std_norm,priority_score
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,1920,-70.576063,22.815798,53.558,0.0,130.97,0.18242069775757264,0.073
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,1920,-70.575938,22.831448,56.537,0.0,122.71,0.22046278796546964,0.0882
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10880_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10880,1920,-70.575811,22.847104,73.497,0.0,75.88,0.4370434693773305,0.1748
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,2560,-70.583105,22.582189,69.986,0.0,44.85,0.3922076927006181,0.1569
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,2560,-70.583,22.59774,61.084,0.0,60.61,0.27852837513408596,0.1114
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1280,2560,-70.582894,22.613298,61.123,0.0,37.12,0.2790264085406344,0.1116
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1920,2560,-70.582786,22.628863,63.741,0.0,32.59,0.31245849721612096,0.125
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,2560,2560,-70.582677,22.644434,67.24,0.0,34.51,0.3571410328446646,0.1429
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,2560,-70.582455,22.675597,84.702,0.0,39.81,0.5801322981049191,0.2321
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7040,2560,-70.581874,22.753624,69.363,0.0,33.24,0.38425192828318944,0.1537
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7680,2560,-70.581754,22.76925,54.266,0.0,63.4,0.19146191959953002,0.0766
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,2560,-70.581633,22.784883,57.421,0.0,127.89,0.231751545180569,0.0927
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,2560,-70.58151,22.800523,52.06,0.0,168.82,0.16329110691117127,0.0653
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,2560,-70.581385,22.81617,56.687,0.0,149.88,0.22237830106757925,0.089
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y02560.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,2560,-70.58126,22.831823,60.949,0.0,117.73,0.2768044133421872,0.1107
